BAC, raw_sensor
0.006, 265, 53.03916815247203
0.031, 220, 93.9592047942059
0.086, 170, 165.26470070549374
0.101, 110, 299.95169475294597
0.028, 240, 73.46566702778092
0.130, 120, 273.08161758313156
0.060, 165, 174.23441928975743
0.075, 120, 273.08161758313156
0.102, 110, 299.95169475294597
