0,0.589521796
1,0.58060481
2,0.572346095
3,0.566527251
4,0.565097927
5,0.565013003
6,0.565173414
7,0.565092984
8,0.565194533
9,0.565296531
10,0.566052756
11,0.5657544
12,0.566072976
13,0.566397394
14,0.56761014
15,0.567751679
16,0.568254931
17,0.568424329
18,0.568403659
19,0.568332665
20,0.56857126
21,0.568695276
22,0.568767169
23,0.568966672
24,0.569269521
25,0.569659541
26,0.569127083
27,0.570382066
28,0.571611438
29,0.572088179
30,0.572205005
31,0.572502013
32,0.573920104
33,0.575616331
34,0.577018695
35,0.580168959
36,0.584768766
37,0.590916522
38,0.597755349
39,0.609224988
40,0.628886391
41,0.657428835
42,0.685191687
43,0.70004749
44,0.70110252
45,0.700890436
46,0.700081189
47,0.700296419
48,0.700916048
49,0.700733619
50,0.700718342
51,0.700102757
52,0.699562211
53,0.6996705
54,0.699272842
55,0.698645126
56,0.698153557
57,0.697736128
58,0.69803718
59,0.698062792
