0,0.565117248
1,0.565185097
2,0.565788549
3,0.566538484
4,0.567247978
5,0.567493763
6,0.567526564
7,0.568264816
8,0.568234261
9,0.568573956
10,0.5686791
11,0.569052944
12,0.569913414
13,0.570587411
14,0.571486973
15,0.571667604
16,0.5713005
17,0.571660415
18,0.572104804
19,0.572450789
20,0.572469212
21,0.572346095
22,0.572213093
23,0.571994268
24,0.571198951
25,0.571062804
26,0.569517103
27,0.568684941
28,0.569354894
29,0.573061431
30,0.576991735
31,0.583557818
32,0.59525347
33,0.616583692
34,0.654515818
35,0.68416137
36,0.691500303
37,0.693096779
38,0.693617105
39,0.693672822
40,0.692922438
41,0.693513309
42,0.693462984
43,0.691990075
44,0.692646099
45,0.692851893
46,0.692647896
47,0.69222193
48,0.692084884
49,0.691524118
50,0.690911679
